Date,Time,Sample Type,Sample Number,Dry Weight,Personnel
2021-02-01T00:00:00Z,0.3333333333333333,CC,1,68.07,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,2,68.83,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,3,68.64,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,4,69.14,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,5,68.07,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,6,68.59,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,7,69.15,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,8,68.84,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,9,64.54,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,10,64.93,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,11,65.23,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,12,65.84,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,13,65.92,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,14,65.89,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,15,65.4,Thoreson
2021-02-01T00:00:00Z,0.3333333333333333,CC,16,65.49,Thoreson
2021-02-05T00:00:00Z,1526,DF,1,131.7,Nemens
2021-02-05T00:00:00Z,1526,DF,2,127.81,Nemens
2021-02-05T00:00:00Z,1526,DF,3,135.1,Nemens
2021-02-05T00:00:00Z,1526,DF,4,128.73,Nemens
2021-02-05T00:00:00Z,1526,DF,5,122.68,Nemens
2021-02-05T00:00:00Z,1526,DF,6,128.9,Nemens
2021-02-05T00:00:00Z,1526,DF,7,121.28,Nemens
2021-02-05T00:00:00Z,1526,DF,8,141.29,Nemens
2021-02-05T00:00:00Z,1526,DF,9,121.28,Nemens
2021-02-05T00:00:00Z,1526,DF,10,140.25,Nemens
2021-02-05T00:00:00Z,1526,DF,11,141.53,Nemens
2021-02-05T00:00:00Z,1526,DF,12,147.38,Nemens
2021-02-05T00:00:00Z,1526,DF,13,142.7,Nemens
2021-02-05T00:00:00Z,1526,DF,14,144.98,Nemens
2021-02-05T00:00:00Z,1526,DF,15,160.06,Nemens
2021-02-05T00:00:00Z,1526,DF,16,143.81,Nemens
2021-02-08T00:00:00Z,1313,PB,1,591.52,Nemens
2021-02-08T00:00:00Z,1313,PB,2,591.62,Nemens
2021-02-08T00:00:00Z,1313,PB,3,587.78,Nemens
2021-02-08T00:00:00Z,1313,PB,4,589.34,Nemens
2021-02-08T00:00:00Z,1313,PB,5,586.11,Nemens
2021-02-08T00:00:00Z,1313,PB,6,594.45,Nemens
2021-02-08T00:00:00Z,1313,PB,7,597.7,Nemens
2021-02-08T00:00:00Z,1313,PB,8,592.7,Nemens
2021-02-08T00:00:00Z,1313,PB,9,578.9,Nemens
2021-02-08T00:00:00Z,1313,PB,10,561.48,Nemens
2021-02-08T00:00:00Z,1313,PB,11,514.29,Nemens
2021-02-08T00:00:00Z,1313,PB,12,587.53,Nemens
2021-02-08T00:00:00Z,1313,PB,13,534.44,Nemens
2021-02-08T00:00:00Z,1313,PB,14,543.07,Nemens
2021-02-08T00:00:00Z,1313,PB,15,521.58,Nemens
2021-02-08T00:00:00Z,1313,PB,16,556.19,Nemens
2021-02-12T00:00:00Z,1329,SRO,1,29.92,Nemens
2021-02-12T00:00:00Z,1329,SRO,2,28.54,Nemens
2021-02-12T00:00:00Z,1329,SRO,3,30.23,Nemens
2021-02-12T00:00:00Z,1329,SRO,4,34.7,Nemens
2021-02-12T00:00:00Z,1329,SRO,5,27.2,Nemens
2021-02-12T00:00:00Z,1329,SRO,6,30.06,Nemens
2021-02-12T00:00:00Z,1329,SRO,7,29.53,Nemens
2021-02-12T00:00:00Z,1329,SRO,8,33.69,Nemens
2021-02-12T00:00:00Z,1329,SRO,9,36.08,Nemens
2021-02-12T00:00:00Z,1329,SRO,10,31.84,Nemens
2021-02-12T00:00:00Z,1329,SRO,11,32.92,Nemens
2021-02-12T00:00:00Z,1329,SRO,12,33.88,Nemens
2021-02-12T00:00:00Z,1329,SRO,13,32.16,Nemens
2021-02-12T00:00:00Z,1329,SRO,14,33.21,Nemens
2021-02-12T00:00:00Z,1329,SRO,15,33.84,Nemens
2021-02-12T00:00:00Z,1329,SRO,16,35.55,Nemens
