Date,Sample,tare wt,tare+staple,tare wt2
2021-02-08T00:00:00Z,1,461.18,461.55,NA
2021-02-08T00:00:00Z,2,462.08,462.45,NA
2021-02-08T00:00:00Z,3,460.12,460.49,NA
2021-02-08T00:00:00Z,4,457.84,458.21,NA
2021-02-08T00:00:00Z,5,461.18,461.55,NA
2021-02-08T00:00:00Z,6,462.08,462.45,NA
2021-02-08T00:00:00Z,7,460.12,460.49,NA
2021-02-08T00:00:00Z,8,457.84,458.21,NA
2021-02-08T00:00:00Z,9,457.07,457.44,NA
2021-02-08T00:00:00Z,10,465.52,465.89,NA
2021-02-08T00:00:00Z,11,461.51,461.88,NA
2021-02-08T00:00:00Z,12,459.6,459.97,NA
2021-02-08T00:00:00Z,13,462.18,462.55,NA
2021-02-08T00:00:00Z,14,462.1,462.47,NA
2021-02-08T00:00:00Z,15,462.86,463.23,NA
2021-02-08T00:00:00Z,16,460.17,460.54,NA
2021-02-11T00:00:00Z,17,479.33,NA,NA
2021-02-11T00:00:00Z,18,478.42,NA,NA
2021-02-11T00:00:00Z,19,478.51,NA,NA
2021-02-11T00:00:00Z,20,478.8,NA,NA
2021-02-11T00:00:00Z,21,475.88,NA,NA
2021-02-11T00:00:00Z,22,475.47,NA,NA
2021-02-11T00:00:00Z,23,477,NA,NA
2021-02-11T00:00:00Z,24,477.69,NA,NA
2021-02-11T00:00:00Z,25,476.2,NA,NA
2021-02-11T00:00:00Z,26,480.2,NA,NA
2021-02-11T00:00:00Z,27,476.19,NA,NA
2021-02-11T00:00:00Z,28,476.74,NA,NA
2021-02-11T00:00:00Z,29,476.34,NA,NA
2021-02-11T00:00:00Z,30,476.08,NA,NA
2021-02-11T00:00:00Z,31,477.13,NA,NA
2021-02-11T00:00:00Z,32,479.73,NA,NA
2021-02-12T00:00:00Z,1,NA,NA,468.33
2021-02-12T00:00:00Z,2,NA,NA,462.23
2021-02-12T00:00:00Z,3,NA,NA,462.87
2021-02-12T00:00:00Z,4,NA,NA,460.11
2021-02-12T00:00:00Z,5,NA,NA,460.75
2021-02-12T00:00:00Z,6,NA,NA,461.68
2021-02-12T00:00:00Z,7,NA,NA,459.81
2021-02-12T00:00:00Z,8,NA,NA,457.28
2021-02-12T00:00:00Z,9,NA,NA,456.59
2021-02-12T00:00:00Z,10,NA,NA,464.97
2021-02-12T00:00:00Z,11,NA,NA,461.12
2021-02-12T00:00:00Z,12,NA,NA,459.03
2021-02-12T00:00:00Z,13,NA,NA,461.55
2021-02-12T00:00:00Z,14,NA,NA,461.66
2021-02-12T00:00:00Z,15,NA,NA,462.28
2021-02-12T00:00:00Z,16,NA,NA,459.62
